,Data_time,lr,Loss,KL_Loss_target,CE_Loss_source,SIMCLR_Loss_target,top1,top1_per_class,top1_base,top1_base_per_class,Batch_time,Data_time/avg,lr/avg,Loss/avg,KL_Loss_target/avg,CE_Loss_source/avg,SIMCLR_Loss_target/avg,top1/avg,top1_per_class/avg,top1_base/avg,top1_base_per_class/avg,Batch_time/avg,Data_time/sum,lr/sum,Loss/sum,KL_Loss_target/sum,CE_Loss_source/sum,SIMCLR_Loss_target/sum,top1/sum,top1_per_class/sum,top1_base/sum,top1_base_per_class/sum,Batch_time/sum
540,0.05890154838562012,1e-05,6.157814979553223,0.5239216685295105,0.27090850472450256,5.362985134124756,65.234375,41.282264709472656,93.359375,93.26461791992188,0.4968447685241699,0.16264488961961535,1e-05,6.210862106747097,0.5166538953781128,0.3338930242591434,5.360315243403117,61.76215277777778,35.45682568020291,92.31770833333333,92.46918063693576,0.6128290361828275,2.927608013153076,0.00018,111.79551792144775,9.29977011680603,6.010074436664581,96.4856743812561,284600.0,638.2228622436523,425400.0,1664.4452514648438,11.030922651290894
541,0.04839158058166504,1e-05,6.181397914886475,0.5310573577880859,0.297046035528183,5.353294372558594,57.421875,28.977006912231445,93.75,93.07219696044922,0.49095606803894043,0.16123738553788927,1e-05,6.183759768803914,0.5120503024922477,0.31159595234526527,5.360113594267103,61.80555555555556,35.15551969740126,93.01215277777777,93.13358052571614,0.6088003714879354,2.902272939682007,0.00018,111.30767583847046,9.216905444860458,5.608727142214775,96.48204469680786,284800.0,632.7993545532227,428600.0,1676.4044494628906,10.958406686782837
542,0.05346369743347168,1e-05,6.257509231567383,0.5344623923301697,0.36873921751976013,5.354307651519775,59.375,32.57895278930664,89.84375,90.50321960449219,0.5116724967956543,0.1611443493101332,1e-05,6.200933244493273,0.5134202440579733,0.3288247808814049,5.358688142564562,61.76215277777778,35.37684292263455,92.12239583333333,92.06160524156358,0.6089847087860107,2.9005982875823975,0.00018,111.6167984008789,9.241564393043518,5.918846055865288,96.45638656616211,284600.0,636.7831726074219,424500.0,1657.1088943481445,10.961724758148193
543,0.0529484748840332,1e-05,6.168281555175781,0.5022000670433044,0.29840442538261414,5.367677211761475,60.9375,37.510948181152344,94.140625,94.03181457519531,0.47801756858825684,0.1657545566558838,1e-05,6.187098317676121,0.5155309289693832,0.3100869655609131,5.361480474472046,61.1328125,33.744619369506836,92.79513888888889,93.00653500027127,0.613758405049642,2.983582019805908,0.00018,111.36776971817017,9.279556721448898,5.5815653800964355,96.50664854049683,281700.0,607.403148651123,427600.0,1674.1176300048828,11.047651290893555
544,0.05163383483886719,1e-05,6.257827281951904,0.5540216565132141,0.33144110441207886,5.372364521026611,59.765625,31.816423416137695,91.40625,92.10382080078125,0.5005278587341309,0.1616080469555325,1e-05,6.204207102457683,0.5104292465580834,0.33234574231836533,5.361432049009535,61.76215277777778,35.06838215721978,91.66666666666667,91.45431094699435,0.6048160129123263,2.908944845199585,0.00018,111.67572784423828,9.187726438045502,5.982223361730576,96.50577688217163,284600.0,631.230878829956,422400.0,1646.1775970458984,10.886688232421875
545,0.04971504211425781,1e-05,6.308426856994629,0.5614112615585327,0.3756686747074127,5.371346950531006,58.59375,29.575698852539062,90.234375,90.9221420288086,0.496964693069458,0.1636666324403551,1e-05,6.1946145163642035,0.5130481074253718,0.3216869897312588,5.3598794142405195,61.697048611111114,34.16742653316922,92.75173611111111,92.83749474419488,0.6094857851664225,2.9459993839263916,0.00018,111.50306129455566,9.234865933656693,5.790365815162659,96.47782945632935,284300.0,615.0136775970459,427400.0,1671.0749053955078,10.970744132995605
546,0.04956173896789551,1e-05,6.2508368492126465,0.5283089876174927,0.3554771840572357,5.367050647735596,63.671875,39.272579193115234,91.40625,92.33072662353516,0.4993739128112793,0.16230559349060059,1e-05,6.2034068372514515,0.5169840703407923,0.32551521559556323,5.360907554626465,61.80555555555556,34.33620738983154,92.14409722222223,92.24516084459093,0.6172199249267578,2.9215006828308105,0.00018,111.66132307052612,9.305713266134262,5.8592738807201385,96.49633598327637,284800.0,618.0517330169678,424600.0,1660.4128952026367,11.10995864868164
547,0.042706966400146484,1e-05,6.156330108642578,0.518617570400238,0.2725181579589844,5.365194320678711,63.671875,40.85816192626953,92.96875,93.84542846679688,0.47988057136535645,0.15987308820088705,1e-05,6.19168750445048,0.5180897066990534,0.3129771153132121,5.360620684093899,61.328125,35.01030455695258,92.79513888888889,93.04514736599393,0.606133394771152,2.877715587615967,0.00018,111.45037508010864,9.325614720582962,5.633588075637817,96.49117231369019,282600.0,630.1854820251465,427600.0,1674.8126525878906,10.910401105880737
548,0.04251289367675781,1e-05,6.156149864196777,0.5189177989959717,0.27125343680381775,5.365978240966797,60.9375,42.715850830078125,94.921875,94.97119903564453,0.47503185272216797,0.1616910563574897,1e-05,6.186963531706068,0.5048755953709284,0.3210935460196601,5.360994286007351,61.892361111111114,35.38902441660563,92.55642361111111,92.89822218153212,0.6037065850363837,2.9104390144348145,0.00018,111.36534357070923,9.087760716676712,5.779683828353882,96.49789714813232,285200.0,637.0024394989014,426500.0,1672.1679992675781,10.866718530654907
549,0.0525364875793457,1e-05,6.2008137702941895,0.5519210696220398,0.27414920926094055,5.374743461608887,62.890625,35.16337203979492,92.96875,92.51133728027344,0.49294614791870117,0.1601562632454766,1e-05,6.209118180804783,0.5174946520063612,0.33002955052587724,5.361594014697605,61.848958333333336,34.920333332485626,92.42621527777777,92.37464947170682,0.6038080983691745,2.882812738418579,0.00018,111.76412725448608,9.314903736114502,5.94053190946579,96.50869226455688,285000.0,628.5659999847412,425900.0,1662.7436904907227,10.868545770645142
550,0.05362367630004883,1e-05,6.1582770347595215,0.46635088324546814,0.3415750563144684,5.350350856781006,64.84375,34.237789154052734,91.796875,92.09120178222656,0.49719691276550293,0.16672088040245903,1e-05,6.1968339284261065,0.51995949447155,0.3130463891559177,5.363828076256646,62.00086805555556,35.021486600240074,92.92534722222223,92.92589357164171,0.6107096804512872,3.0009758472442627,0.00018,111.54301071166992,9.3592709004879,5.6348350048065186,96.54890537261963,285700.0,630.3867588043213,428200.0,1672.6660842895508,10.992774248123169
